Country,DateofVotes,TitleinEnglish,Institutions,year
Slovenia,6-Juni-10,Border Arbitration Agreement with Croatia,Optional Legislative Referendum,2010
Slovenia,12-Dez.-10,Regulation of the Slovenian public broadcaster (RTV),Optional Legislative Referendum,2010
Slovenia,10-Apr.-11,Law on part-time work,Optional Legislative Referendum,2011
Slovenia,5-Juni-11,Law against illicit work,Parliamentary plebiscite binding,2011
Slovenia,25-März-12,Family Code,Optional Legislative Referendum,2012
Slovenia,8-Juni-14,Law on the protection of legal documents and archives,Optional Legislative Referendum,2014
Spain,7-Dez.-78,Constitution,Mandatory Constitutional Referendum,1978
Spain,12-März-86,Remaining a NATO member,Parliamentary plebiscite (consultative),1986
Spain,20-Feb.-05,Referendum on the EU Constitution,Parliamentary plebiscite (consultative),2005
Spain (1939-1977),15-Dez.-76,Programme of reform,Mandatory Constitutional Referendum,1976
Sweden,23-März-80,Nuclear power policy (3 lines): Line 1,Parliamentary plebiscite (consultative),1980
Sweden,13-Okt.-94,Accession to the European Union,Parliamentary plebiscite (consultative),1994
Sweden,14-Sep.-03,Introducing the Euro as national currency,Parliamentary plebiscite (consultative),2003
Switzerland,1-Feb.-70,Federal decree on domestic sugar production,Optional Legislative Referendum (Federal Decrees),1970
Switzerland,7-Juni-70,Citizen's initiative Reduction of number of foreigners,Initiative (Formulated Draft),1970
Switzerland,27-Sep.-70,Federal decree on supplementing the Federal Constitution by an article 27 on promotion of sport and gymnastics,Constitutional Referendum (Partialrevision),1970
Switzerland,15-Nov.-70,Federal decree on amendment to federal budget,Constitutional Referendum (Partialrevision),1970
Switzerland,7-Feb.-71,Federal decree on introduction of women's suffrage at the federal level,Constitutional Referendum (Partialrevision),1971
Switzerland,6-Juni-71,Federal decree on supplementing the Federal Constitution by an article 24 on protecting people and the natural environment from harmful or annoying impacts,Constitutional Referendum (Partialrevision),1971
Switzerland,5-März-72,Counter proposal to the citizen's initiative Promotion of housing construction,Constitutional Referendum (Counter-draft),1972
Switzerland,4-Juni-72,Federal decree on measures to stabilise the construction market,Mandatory Legislative Referendum (Federal decrees declared urg,1972
Switzerland,24-Sep.-72,Citizen's initiative for increased control of arms industry and prohibition of arms exports,Initiative (Formulated Draft),1972
Switzerland,3-Dez.-72,Counter proposal to the citizen's initiative For a real old age and sickness pension(amendment to the Federal Constitution on disability  old age-  widows- and orphans insurance),Constitutional Referendum (Counter-draft),1972
Switzerland,4-März-73,Federal decree on amendment to the Federal Constitution on education,Constitutional Referendum (Partialrevision),1973
Switzerland,20-Mai-73,Federal decree on repeal of articles 51 and 52 of the Constitution concerning Jesuits and monasteries,Constitutional Referendum (Partialrevision),1973
Switzerland,2-Dez.-73,Federal decree on measures to monitor prices,Mandatory Legislative Referendum (Federal decrees declared urg,1973
Switzerland,20-Okt.-74,Citizen's initiative Reduction in number of foreigners,Initiative (Formulated Draft),1974
Switzerland,8-Dez.-74,Counter proposal to the citizen's initiative for better health insurance and a revision of the Constitution in regard to health insurance  accidents and maternity,Constitutional Referendum (Counter-draft),1974
Switzerland,2-März-75,Federal decree on article in the Constitution on the economy,Constitutional Referendum (Partialrevision),1975
Switzerland,8-Juni-75,Federal decree on protection of the currency (amendment of 28 June 1974),Mandatory Legislative Referendum (Federal decrees declared urg,1975
Switzerland,7-Dez.-75,Federal decree on amendment of the Federal Constitution (freedom of settlement and social welfare assistance),Constitutional Referendum (Partialrevision),1975
Switzerland,21-März-76,Citizen's initiative Reform of taxes (fairer taxes and abolition of tax privileges),Initiative (General Suggestion),1976
Switzerland,13-Juni-76,Federal decree on an agreement between Switzerland and the International Development Agency on a loan of 200 million francs,Optional Treaty Referendum (for an unlimited period or duratio,1976
Switzerland,26-Sep.-76,Federal decree on an article of the Federal Constitution concerning radio and television,Constitutional Referendum (Partialrevision),1976
Switzerland,5-Dez.-76,Federal decree on monetary and credit policy,Mandatory Legislative Referendum (Federal decrees declared urg,1976
Switzerland,13-März-77,Citizen's initiative Reduction of number of foreigners (No. 4),Initiative (Formulated Draft),1977
Switzerland,12-Juni-77,Federal decree on revision of VAT and direct federal taxation,Constitutional Referendum (Partialrevision),1977
Switzerland,25-Sep.-77,Citizen's initiative For effective protection of tenants,Initiative (Formulated Draft),1977
Switzerland,4-Dez.-77,Citizen's initiative Higher taxes on big incomes,Initiative (Formulated Draft),1977
Switzerland,26-Feb.-78,Citizen's initiative Enhancing parliamentary and popular participation in decision-making on matters of highway construction,Initiative (Formulated Draft),1978
Switzerland,28-Mai-78,Law on summer time,Optional Legislative Referendum (Federal Statutes),1978
Switzerland,24-Sep.-78,Federal decree on creation of the canton Jura (articles 1 and 80 of the Federal Constitution),Constitutional Referendum (Partialrevision),1978
Switzerland,3-Dez.-78,1977 decree on milk supply,Optional Legislative Referendum (Federal Decrees),1978
Switzerland,18-Feb.-79,Federal decree on lowering voting age to 18,Constitutional Referendum (Partialrevision),1979
Switzerland,20-Mai-79,Federal decree on revision of VAT and direct federal taxes,Constitutional Referendum (Partialrevision),1979
Switzerland,2-März-80,Citizen's initiative Complete separation of church and state,Initiative (Formulated Draft),1980
Switzerland,30-Nov.-80,Federal traffic law  amendment of 21 March 1980 (compulsory seatbelts and helmets),Optional Legislative Referendum (Federal Statutes),1980
Switzerland,5-Apr.-81,Citizen's initiative New  friendlier policy towards foreign residents,Initiative (Formulated Draft),1981
Switzerland,14-Juni-81,Counter proposal to the citizen's initiative Equal rights for men and women,Constitutional Referendum (Counter-draft),1981
Switzerland,29-Nov.-81,Federal decree on continuation of budget and improvement in federal finances,Constitutional Referendum (Partialrevision),1981
Switzerland,6-Juni-82,Law on foreigners,Optional Legislative Referendum (Federal Statutes),1982
Switzerland,28-Nov.-82,Counter proposal to the citizen's initiative Prevention of false pricing,Constitutional Referendum (Counter-draft),1982
Switzerland,27-Feb.-83,Federal decree on revision of fuel duty,Constitutional Referendum (Partialrevision),1983
Switzerland,4-Dez.-83,Federal decree on changes to nationality rules in the Federal Constitution,Constitutional Referendum (Partialrevision),1983
Switzerland,26-Feb.-84,Federal decree on raising a heavy goods vehicle tax,Constitutional Referendum (Partialrevision),1984
Switzerland,20-Mai-84,Citizen's initiative Against abuse of banking secrecy and banking power,Initiative (Formulated Draft),1984
Switzerland,23-Sep.-84,Citizen's initiative For a future without new nuclear power plants,Initiative (Formulated Draft),1984
Switzerland,2-Dez.-84,Citizen's initiative Effective protection of motherhood,Initiative (Formulated Draft),1984
Switzerland,10-März-85,Federal decree on ending federal public primary school subsidies,Constitutional Referendum (Partialrevision),1985
Switzerland,9-Juni-85,Citizen's initiative Right to life,Initiative (Formulated Draft),1985
Switzerland,22-Sep.-85,Counter proposal to the citizen's initiative Standardised beginning of school year in all cantons,Constitutional Referendum (Counter-draft),1985
Switzerland,1-Dez.-85,Citizen's initiative Abolition of vivisection,Initiative (Formulated Draft),1985
Switzerland,16-März-86,Federal decree on accession of Switzerland to the UN,Mandatory Treaty Referendum (Collective Security Organizations,1986
Switzerland,28-Sep.-86,Counter proposal to the citizen's initiative culture initiative,Constitutional Referendum (Counter-draft),1986
Switzerland,7-Dez.-86,Federal decree on the citizen's initiative Tenants protection(counter-proposal),Constitutional Referendum (Counter-draft),1986
Switzerland,5-Apr.-87,Asylum law  amendment of 20 June 1986,Optional Legislative Referendum (Federal Statutes),1987
Switzerland,6-Dez.-87,Federal decree on Rail 2000 project,Optional Legislative Referendum (Federal Decrees),1987
Switzerland,12-Juni-88,Federal decree on constitutional basis for a coordinated traffic policy,Constitutional Referendum (Partialrevision),1988
Switzerland,4-Dez.-88,Citizen's initiative Town and country  initiative against land speculation,Initiative (Formulated Draft),1988
Switzerland,4-Juni-89,Citizen's initiative for ecological  farming - against animal factories (small  farmers initiative),Initiative (Formulated Draft),1989
Switzerland,26-Nov.-89,Citizen's initiative for abolition of the  Swiss army and a comprehensive policy  for peace,Initiative (Formulated Draft),1989
Switzerland,1-Apr.-90,Citizen's initiative No more concrete  - restriction on new road building!,Initiative (Formulated Draft),1990
Switzerland,23-Sep.-90,Citizen's initiative Stop using nuclear  power,Initiative (Formulated Draft),1990
Switzerland,3-März-91,Federal decree on lowering the voting  age to 18,Constitutional Referendum (Partialrevision),1991
Switzerland,2-Juni-91,Federal decree on revision of federal  finances,Constitutional Referendum (Partialrevision),1991
Switzerland,16-Feb.-92,Citizen's initiative for affordable  health insurance,Initiative (Formulated Draft),1992
Switzerland,17-Mai-92,Federal law governing Swiss  involvement with the Bretton Woods  institutions,Optional Legislative Referendum (Federal Statutes),1992
Switzerland,27-Sep.-92,Federal decree on building of Swiss  transalpine railway,Optional Legislative Referendum (Federal Decrees),1992
Switzerland,6-Dez.-92,Federal decree on European Economic  Area,Customary Mandatory Treaty Referendum (Extraordinary),1992
Switzerland,7-März-93,Federal law of 9 October 1992 on raising fuel duty,Optional Legislative Referendum (Federal Statutes),1993
Switzerland,6-Juni-93,Citizen's initiative 40 army training  camps are enough - protection of the  environment within the military as well,Initiative (Formulated Draft),1993
Switzerland,26-Sep.-93,Federal decree against the misuse of  weapons,Constitutional Referendum (Partialrevision),1993
Switzerland,28-Nov.-93,Federal decree on organisation of federal  finances,Constitutional Referendum (Partialrevision),1993
Switzerland,20-Feb.-94,Federal decree on continuation of the  motorway tax,Constitutional Referendum (Partialrevision),1994
Switzerland,12-Juni-94,Federal decree on Art. 27 of the  Federal Constitution relating to promotion of culture,Constitutional Referendum (Partialrevision),1994
Switzerland,25-Sep.-94,Federal decree on ending subsidy for  domestic bread-making cereals,Constitutional Referendum (Partialrevision),1994
Switzerland,4-Dez.-94,Federal law on health insurance,Optional Legislative Referendum (Federal Statutes),1994
Switzerland,12-März-95,Federal decree on the citizen's initiative For an environmentally just and efficient agriculture(counter proposal),Constitutional Referendum (Counter-draft),1995
Switzerland,25-Juni-95,Federal law on old age-  widows- and  orphans insurance  amendment of 7  October 1994,Optional Legislative Referendum (Federal Statutes),1995
Switzerland,10-März-96,Federal decree on revision of the  language article in the Federal  Constitution (Art. 116),Constitutional Referendum (Partialrevision),1996
Switzerland,9-Juni-96,Counter-proposal of National Assembly  of 21 December 1995 to the citizen's  initiative Farmers and consumers - for  an agriculture in harmony with nature,Constitutional Referendum (Counter-draft),1996
Switzerland,1-Dez.-96,Citizen's initiative Against illegal immigration,Initiative (Formulated Draft),1996
Switzerland,8-Juni-97,Citizen's initiative Negotiations on  joining the EU: let the people decide!,Initiative (Formulated Draft),1997
Switzerland,28-Sep.-97,Federal decree of 13 December 1996  on financing unemployment insurance,Optional Legislative Referendum (Federal Decrees declared urge,1997
Switzerland,7-Juni-98,Federal decree on budget balancing measures,Constitutional Referendum (Partialrevision),1998
Switzerland,27-Sep.-98,Federal law on engine size-related heavy  goods vehicle tax,Optional Legislative Referendum (Federal Statutes),1998
Switzerland,29-Nov.-98,Federal decree on the construction  and finance of public transport  infrastructure plans,Constitutional Referendum (Partialrevision),1998
Switzerland,7-Feb.-99,Federal decree on changing the conditions of eligibility for election to the National Council,Constitutional Referendum (Partialrevision),1999
Switzerland,18-Apr.-99,Federal decree on a new federal  constitution,Constitutional Referendum (Total Revision),1999
Switzerland,13-Juni-99,Asylum law,Optional Legislative Referendum (Federal Statutes),1999
Switzerland,12-März-00,Federal decree on reform of the judiciary,Constitutional Referendum (Partialrevision),2000
Switzerland,21-Mai-00,Federal decree on approval of sectoral  agreements between Switzerland and  the EC and/or its member states  or  Euratom,Optional Treaty Referendum (Multilateral unification of law),2000
Switzerland,24-Sep.-00,Citizen's initiative For 'solarrappen'  (solar initiative),Initiative (Formulated Draft),2000
Switzerland,26-Nov.-00,Citizen's initiative For a more flexible  old age-  widows- and orphans insurance  - against raising the retirement age for  women,Initiative (Formulated Draft),2000
Switzerland,4-März-01,Citizen's initiative Yes to Europe,Initiative (Formulated Draft),2001
Switzerland,10-Juni-01,Amendment of 6 October 2000 to Federal law on army and military  authorities (weapons),Optional Legislative Referendum (Federal Statutes),2001
Switzerland,2-Dez.-01,Federal decree on reducing debt,Constitutional Referendum (Partialrevision),2001
Switzerland,3-März-02,Citizen's initiative For Switzerland's  membership to the UN,Initiative (Formulated Draft),2002
Switzerland,2-Juni-02,Amendment to Swiss criminal code  (abortion),Optional Legislative Referendum (Federal Statutes),2002
Switzerland,22-Sep.-02,Counter-proposal (Gold for pension  funds  cantons and foundations),Constitutional Referendum (Counter-draft),2002
Switzerland,24-Nov.-02,Citizen's initiative Against the abuse of asylum law,Initiative (Formulated Draft),2002
Switzerland,9-Feb.-03,Federal decree on amendment to  citizens' rights,Constitutional Referendum (Partialrevision),2003
Switzerland,18-Mai-03,Amendment to Federal law on army and military administration,Optional Legislative Referendum (Federal Statutes),2003
Switzerland,8-Feb.-04,Counter-proposal by Federal Assembly  of 3 October 2003 to withdrawn the citizen's  initiative Avanti - for safe  efficient  motorways,Constitutional Referendum (Counter-draft),2004
Switzerland,16-Mai-04,Amendment of 3 October 2003 to the Federal law on old age-  widows- and  orphans insurance (11th revision),Optional Legislative Referendum (Federal Statutes),2004
Switzerland,26-Sep.-04,Federal decree of 3 October 2003 on  the proper conduct of naturalisation  and easier naturalisation for young   second-generation foreigners,Constitutional Referendum (Partialrevision),2004
Switzerland,28-Nov.-04,Federal decree of 3 October 2003 on  revision of financial compensation and  distribution of charges between the  Confederation and the cantons,Constitutional Referendum (Partialrevision),2004
Switzerland,5-Juni-05,Federal decree of 17 December 2004 on  the approval and implementation of  the bilateral agreements between  Switzerland and the EU on the  Schengen and Dublin accords,Optional Treaty Referendum (Treaties containing important law,2005
Switzerland,25-Sep.-05,Federal decree on approval and  implementation of the protocol on the  extension of the agreement on the  free movement of persons to the new  EU member states between Switzerland on the one hand and the E,Optional Treaty Referendum (Treaties containing important law,2005
Switzerland,27-Nov.-05,Citizen's initiative For food grown  without genetic modification,Initiative (Formulated Draft),2005
Switzerland,21-Mai-06,Federal decree of 16 December 2005 on a  revision of the articles on education in the Federal Constitution,Constitutional Referendum (Partialrevision),2006
Switzerland,24-Sep.-06,Citizen's initiative Profits from the  National Bank for the old age-  widows-  and orphans insurance fund,Initiative (Formulated Draft),2006
Switzerland,26-Nov.-06,Federal Law of 24 March 2006 on cooperation with the countries of Eastern Europe,Optional Legislative Referendum (Federal Statutes),2006
Switzerland,11-März-07,Citizen's initiative For a social united health insurance,Initiative (Formulated Draft),2007
Switzerland,17-Juni-07,Amendment of the Federal disability insurance (LAI) law,Optional Legislative Referendum (Federal Statutes),2007
Switzerland,24-Feb.-08,Citizen's initiative Against the noise of fighter jets in tourist areas,Initiative (Formulated Draft),2008
Switzerland,1-Juni-08,Citizen's initiative Popular sovereignty instead of government propaganda,Initiative (Formulated Draft),2008
Switzerland,30-Nov.-08,Citizen's initiative For no statute of limitation for pornographic crimes against children,Initiative (Formulated Draft),2008
Switzerland,8-Feb.-09,Federal Decree of 13 June 2008 approving the renewal of the agreement between Switzerland and the European Community and its Member States on the free movement of persons  and the approval and implementati,Optional Treaty Referendum (Treaties containing important law,2009
Switzerland,17-Mai-09,Article of the Constitution of 3.10.2008 For a future with alternative medicine,Constitutional Referendum (Counter-draft),2009
Switzerland,27-Sep.-09,Federal decree on the temporary supplementary financing of disability insurance through an increase in the value-added tax rate  as amended by the Federal decree of 12 June 2009 on the amendment of this de,Constitutional Referendum (Partialrevision),2009
Switzerland,29-Nov.-09,Federal decree of 3.10.2008 for the creation of a specialist fund for duties on air traffic,Constitutional Referendum (Partialrevision),2009
Switzerland,7-März-10,Federal decree of 25 september 2009 on a constitutional article concerning the research on humans.,Constitutional Referendum (Partialrevision),2010
Switzerland,26-Sep.-10,Revision of the law on unemployment insurance,Optional Legislative Referendum (Federal Statutes),2010
Switzerland,28-Nov.-10,Citizens initiative for the expulsion of criminal foreigners(expulsion initiative),Initiative (Formulated Draft),2010
Switzerland,13-Feb.-11,Initiative Protection from gun violence,Initiative (Formulated Draft),2011
Switzerland,11-März-12,Federal decree of 29 September 2011 on the Regulation of gamblings in favour of charitable purposes (Counter-proposal to the citizen's initiative 'For Gamblings in favour of public weal'),Constitutional Referendum (Counter-draft),2012
Switzerland,17-Juni-12,Citizens' initiative �Own four walls thanks to building savings�,Initiative (Formulated Draft),2012
Switzerland,23-Sep.-12,Federal decree on the promotion of music for young people (Counter-proposal to the withdrawn citizens' initiative �youth + music�),Constitutional Referendum (Counter-draft),2012
Switzerland,25-Nov.-12,Amendment of the law on epizootic diseases,Optional Legislative Referendum (Federal Decrees),2012
Switzerland,3-März-13,Federal decree of 15 June 2012 on family policy,Constitutional Referendum (Partialrevision),2013
Switzerland,9-Juni-13,Citizens' Initiative �Popular election of the federal government�,Initiative (Formulated Draft),2013
Switzerland,22-Sep.-13,Citizens' initiative: �Yes to the abolition of compulsory military service�,Initiative (Formulated Draft),2013
Switzerland,24-Nov.-13,Citizens' initiative �1:12 - for fair wages�,Initiative (Formulated Draft),2013
Switzerland,9-Feb.-14,Federal decree on financing and expansion of the railway infrastructure (FABI),Constitutional Referendum (Partialrevision),2014
Switzerland,18-Mai-14,Federal decree on medical care (counter-proposal to the withdrawn Citizens' initiative �Yes to family medicine�),Constitutional Referendum (Counter-draft),2014
Switzerland,28-Sep.-14,Citizens' initiative of 21.09.2011 �Stopping with the disrimination of value added tax (VAT) for the gastronomy�,Initiative (Formulated Draft),2014
Switzerland,30-Nov.-14,Citizens' initiative of 19.10.2012 �to end tax breaks for wealthy foreigners� (Abolition of lump sum taxation),Initiative (Formulated Draft),2014
Switzerland,8-März-15,Citizens' initiative of 5 November 2012 �Strength families! For tax free children and education supplements�,Initiative (Formulated Draft),2015
Switzerland,14-Juni-15,Citizens' initiative of 20 January 2012 �scholarship-initiative�,Initiative (Formulated Draft),2015
Switzerland,2-Sep.-16,,,2016
Switzerland,27-Nov.-16,Nuclear Energy,,2016
Switzerland,28-Feb.-16,Abschaffung Heiratsstrafe,,2016
Switzerland,5-Juni-16,Pro Service Public,,2016
Ukraine,17-März-91,Ukraine to become a sovereign state with equal rights within the Commonwealth of Independent States (CIS),Parliamentary plebiscite  ad hoc,1991
Ukraine,1-Dez.-91,Independence,Parliamentary plebiscite  ad hoc,1991
Ukraine,16-Apr.-00,Constitutional amendment IV: Establishing a second parliamentary chamber representing the Ukrainian regions (Bicameral system),Popular Initiative,2000
United Kingdom,5-Juni-75,UK European Communities membership referendum,Parliamentary plebiscite  ad hoc,1975
United Kingdom,5-Mai-11,Use of the alternative votesystem for elections,Parliamentary plebiscite  ad hoc,2011
United Kingdom,23-Juni-16,Brexit,,2016